# stride_size,count
1,2435695
2,1036927
3,336594
4,187446
5,117126
6,126069
7,55593
8,63175
9,31707
10,26920
11,21885
12,21941
13,16122
14,15942
15,12548
16,12570
17,10138
18,9639
19,8406
20,10045
21,7063
22,17572
23,5327
24,26949
25,3406
26,3151
27,3038
28,3371
29,2948
30,36524
31,598
32,8029
