# stride_size,count
1,1626194
2,602982
3,266480
4,211557
5,141833
6,116940
7,99097
8,93901
9,71836
10,65281
11,50606
12,46477
13,43490
14,41052
15,37632
16,39034
17,26386
18,20842
19,18155
20,16680
21,11026
22,7423
23,3960
24,2115
25,836
26,385
27,174
28,105
29,99
30,96
31,34
32,41
