# stride_size,count
1,2950970
2,1163458
3,394825
4,220004
5,153831
6,120966
7,65978
8,60689
9,39131
10,32662
11,27251
12,24347
13,19880
14,17761
15,14466
16,13892
17,10934
18,9973
19,8907
20,8704
21,7548
22,8430
23,5213
24,13318
25,3032
26,2816
27,2307
28,2386
29,3232
30,7242
31,511
32,3094
