# stride_size,count
1,6867793
2,1678821
3,421185
4,222379
5,83363
6,51708
7,29644
8,35489
9,14492
10,10696
11,6982
12,5044
13,3581
14,2289
15,1664
16,1698
17,674
18,501
19,346
20,320
21,191
22,162
23,94
24,329
25,49
26,27
27,11
28,16
29,57
30,55
31,4
32,58
1,6872032
2,1678740
3,424224
4,223770
5,83253
6,51924
7,30224
8,36367
9,14645
10,10802
11,7231
12,5110
13,3693
14,2345
15,1648
16,1723
17,659
18,507
19,368
20,354
21,203
22,167
23,89
24,344
25,43
26,26
27,22
28,11
29,38
30,74
31,6
32,46
