# stride_size,count
1,6259503
2,1692413
3,568444
4,252528
5,124294
6,65992
7,36649
8,21646
9,13028
10,8274
11,4905
12,3413
13,2165
14,1514
15,977
16,639
17,453
18,267
19,191
20,132
21,79
22,45
23,35
24,24
25,16
26,13
27,10
28,5
29,3
30,3
31,0
32,0
