# stride_size,count
1,3909106
2,1375505
3,577926
4,321261
5,198967
6,126462
7,83314
8,56828
9,38348
10,27130
11,19232
12,14324
13,10435
14,8059
15,6392
16,4924
17,3835
18,3019
19,2399
20,1822
21,1351
22,1011
23,780
24,499
25,322
26,194
27,133
28,59
29,23
30,4
31,3
32,0
