#it, nb_cores, tput (bps), tput (pps)
0,1,14642731123,30506082
0,2,16094343788,33530318
0,4,19673898339,40987793
0,8,20208623116,42101825
0,16,19412030236,40442270
1,1,14639188992,30498701
2,1,14642683843,30505980
1,2,16093259955,33528053
2,2,15828218400,32975881
1,4,19012464224,39609794
2,4,19546628454,40722686
1,8,21006587820,43764305
2,8,20342971296,42381721
1,16,19945087808,41552794
2,16,19148291158,39892792
