#it, nb_cores, tput (bps), tput (pps)
0,1,21936788921,45702232
0,2,25926512550,54014287
0,4,32286859027,67265142
0,8,34279425443,71416363
0,16,26455688640,55116738
1,1,21804977289,45427632
2,1,21936630870,45701909
1,2,27914289500,58155511
2,2,28172348246,58693149
1,4,26979584428,56208192
2,4,27115499491,56491326
1,8,29111251222,60649198
2,8,32288395744,67268335
1,16,31497959564,65621585
2,16,31090810534,64773357
