#it, nb_cores, tput (bps), tput (pps)
0,1,6252305110,13025802
0,2,10907020809,22723254
0,4,4656459942,9701083
0,8,5055991622,10533456
0,16,3592209356,7483863
1,1,6252522803,13026272
2,1,6252252697,13025696
1,2,9311508342,19399224
2,2,10639712377,22166349
1,4,3991942128,8316658
2,4,5321378166,11086355
1,8,3859029555,8039746
2,8,5055728640,10532902
1,16,4389964332,9145875
2,16,4789796188,9978878
