#it, nb_cores, tput (bps), tput (pps)
0,1,14628176393,30475757
0,2,24731498473,51524618
0,4,26976954598,56202713
0,8,26322997811,54840286
0,16,29638086972,61746810
1,1,14628801507,30477067
2,1,14495472851,30199300
1,2,24334826812,50698208
2,2,23398944448,48748413
1,4,26320589747,54835265
2,4,30301531398,63128993
1,8,26178878252,54540092
2,8,35612585715,74193808
1,16,30302433993,63130873
2,16,23663708886,49300025
