#it, nb_cores, tput (bps), tput (pps)
0,1,6255717808,13032917
0,2,7054446480,14696972
0,4,7051393510,14690603
0,8,8246784208,17180995
0,16,7717553267,16078435
1,1,6255933830,13033368
2,1,6255674777,13032832
1,2,6918964480,14414706
2,2,6786808201,14139370
1,4,7319232816,15248605
2,4,7317789507,15245613
1,8,8247479664,17182483
2,8,8646614352,18014015
1,16,8512390739,17734369
2,16,7715992732,16075185
