# stride_size,count
1,2196196
2,918022
3,278765
4,154483
5,119445
6,104782
7,47546
8,57931
9,27763
10,23946
11,18789
12,22382
13,14994
14,14531
15,10940
16,11472
17,8725
18,8885
19,7277
20,12344
21,11828
22,13990
23,5704
24,46000
25,3004
26,2866
27,2522
28,3317
29,12583
30,40968
31,575
32,15634
