# stride_size,count
1,3898387
2,1366602
3,568268
4,316584
5,195975
6,125547
7,82627
8,56114
9,38089
10,26933
11,19202
12,14109
13,10524
14,8109
15,6263
16,4910
17,3784
18,3135
19,2421
20,1808
21,1380
22,1054
23,735
24,492
25,317
26,200
27,121
28,34
29,11
30,11
31,4
32,0
